stack7_mha_res,N,"B/bp,Seq,H,D",1,stack7_mha_qkv,stack7_mha_x,A,,"B/bp,Seq,H,D",1.00000000000000,"B/bp,Seq,H,D",1.00000000000000,"B/bp,Seq,H,D",1,,B*D*H*Seq/bp
stack7_ffn_x0,N,"B/bp,Seq,D*H",1,stack7_mha_res,,E,10,"B/bp,Seq,H,D",1.00000000000000,,,"B/bp,Seq,H,D",1,,B*D*H*Seq/bp
stack7_ffn_w1,Y,"D*H,DF*H",1,,,T,,,,,,"D*H,DF*H",1,,
stack7_ffn_x1,N,"B/bp,Seq,DF*H",1,stack7_ffn_x0,stack7_ffn_w1,M,"bsd,de->bse","B/bp,Seq,D*H",1.00000000000000,"D*H,DF*H",1.00000000000000,"B/bp,Seq,DF*H",D*H,,B*D*DF*H**2*Seq/bp
stack7_ffn_w2,Y,"DF*H,D*H",1,,,T,,,,,,"DF*H,D*H",1,,
stack7_ffn_x2,N,"B/bp,Seq,D*H",1,stack7_ffn_x1,stack7_ffn_w2,M,"bsd,de->bse","B/bp,Seq,DF*H",1.00000000000000,"DF*H,D*H",1.00000000000000,"B/bp,Seq,D*H",DF*H,,B*D*DF*H**2*Seq/bp
stack7_ffn_res,N,"B/bp,Seq,D*H",1,stack7_ffn_x2,stack7_ffn_x0,A,,"B/bp,Seq,D*H",1.00000000000000,"B/bp,Seq,D*H",1.00000000000000,"B/bp,Seq,D*H",1,,B*D*H*Seq/bp
stack8_mha_x,N,"B/bp,Seq,H,D",1,stack7_ffn_res,,E,10,"B/bp,Seq,D*H",1.00000000000000,,,"B/bp,Seq,D*H",1,,10*B*D*H*Seq/bp
stack8_mha_wq,Y,"H,D,D",1,,,T,,,,,,"H,D,D",1,,
stack8_mha_wk,Y,"H,D,D",1,,,T,,,,,,"H,D,D",1,,
stack8_mha_wv,Y,"H,D,D",1,,,T,,,,,,"H,D,D",1,,
stack8_mha_q,N,"B/bp,Seq,H,D",1,stack8_mha_x,stack8_mha_wq,M,"bshd,hde->bshe","B/bp,Seq,H,D",1.00000000000000,"H,D,D",1.00000000000000,"B/bp,Seq,H,D",D,,B*D**2*H*Seq/bp
stack8_mha_k,N,"B/bp,Seq,H,D",1,stack8_mha_x,stack8_mha_wk,M,"bshd,hde->bshe","B/bp,Seq,H,D",1.00000000000000,"H,D,D",1.00000000000000,"B/bp,Seq,H,D",D,,B*D**2*H*Seq/bp
stack8_mha_v,N,"B/bp,Seq,H,D",1,stack8_mha_x,stack8_mha_wv,M,"bshd,hde->bshe","B/bp,Seq,H,D",1.00000000000000,"H,D,D",1.00000000000000,"B/bp,Seq,H,D",D,,B*D**2*H*Seq/bp
stack8_mha_qk,N,"B/bp,Seq,Seq,H",1,stack8_mha_q,stack8_mha_k,M,"bshd,bwhd->bswh","B/bp,Seq,H,D",1.00000000000000,"B/bp,Seq,H,D",1.00000000000000,"B/bp,Seq,Seq,H",D,,B*D*H*Seq**2/bp
stack8_mha_qkv,N,"B/bp,Seq,H,D",1,stack8_mha_qk,stack8_mha_v,M,"bswh,bwhd->bshd","B/bp,Seq,Seq,H",1.00000000000000,"B/bp,Seq,H,D",1.00000000000000,"B/bp,Seq,H,D",Seq,,B*D*H*Seq**2/bp
stack8_mha_res,N,"B/bp,Seq,H,D",1,stack8_mha_qkv,stack8_mha_x,A,,"B/bp,Seq,H,D",1.00000000000000,"B/bp,Seq,H,D",1.00000000000000,"B/bp,Seq,H,D",1,,B*D*H*Seq/bp
